id,group,score,note
1,B,BAD,"This is a deliberately long audit note for row 1, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
2,C,-23,"This is a deliberately long audit note for row 2, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
3,D,117,"This is a deliberately long audit note for row 3, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
4,E,86,"This is a deliberately long audit note for row 4, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
5,A,100,"This is a deliberately long audit note for row 5, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
6,B,15,"This is a deliberately long audit note for row 6, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
7,C,9.67,"This is a deliberately long audit note for row 7, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
8,D,26,"This is a deliberately long audit note for row 8, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
9,E,15,"This is a deliberately long audit note for row 9, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
10,A,39,"This is a deliberately long audit note for row 10, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
11,B,40,"This is a deliberately long audit note for row 11, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
12,C,24,"This is a deliberately long audit note for row 12, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
13,D,38,"This is a deliberately long audit note for row 13, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
14,E,17.88,"This is a deliberately long audit note for row 14, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
15,A,71,"This is a deliberately long audit note for row 15, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
16,B,21,"This is a deliberately long audit note for row 16, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
17,C,72,"This is a deliberately long audit note for row 17, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
18,D,64,"This is a deliberately long audit note for row 18, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
19,E,28,"This is a deliberately long audit note for row 19, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
20,A,,"This is a deliberately long audit note for row 20, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
21,B,BAD,"This is a deliberately long audit note for row 21, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
22,C,-3,"This is a deliberately long audit note for row 22, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
23,D,134,"This is a deliberately long audit note for row 23, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
24,E,5,"This is a deliberately long audit note for row 24, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
25,A,26,"This is a deliberately long audit note for row 25, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
26,B,50,"This is a deliberately long audit note for row 26, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
27,C,73,"This is a deliberately long audit note for row 27, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
28,D,93.44,"This is a deliberately long audit note for row 28, containing context about source system ingestion, validation checkpoints, reviewer comments, and traceability details for reproducible data quality testing."
